Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.00310044, 0.00175387, 0.00134301, 9.6184e-05, 581, 19568, 1353
0.00330231, 0.00195455, 0.00134301, 0.000118742, 623, 20398, 1683
0.00238559, 0.00121952, 0.0011637, 9.9749e-05, 603, 20427, 1650
0.00422852, 0.0022621, 0.00196049, 0.000121121, 617, 20126, 1386
0.00205429, 0.0010414, 0.00100934, 8.0743e-05, 600, 20227, 1683
0.00277389, 0.00156388, 0.00120645, 8.5496e-05, 613, 20828, 1287
0.00444108, 0.00260171, 0.00183343, 0.000127058, 608, 21092, 1386
0.00205904, 0.00104971, 0.00100577, 9.4997e-05, 574, 19571, 1881
0.00206736, 0.000998649, 0.00106396, 6.6499e-05, 587, 20352, 1221
0.00219323, 0.00107465, 0.00111502, 0.000108054, 627, 20434, 2046
0.00237372, 0.00115183, 0.00121714, 8.3119e-05, 604, 20086, 1452
0.00208161, 0.000999836, 0.00107821, 8.4306e-05, 638, 21030, 1584
0.00207092, 0.000907215, 0.00116014, 0.000121117, 603, 19991, 2013
0.00209823, 0.000997462, 0.00109721, 8.6683e-05, 612, 20828, 1551
0.00207329, 0.000901277, 0.00116964, 8.7868e-05, 613, 20521, 1584
0.00191774, 0.000884653, 0.00102952, 6.8872e-05, 596, 20325, 1221
0.00231197, 0.00112096, 0.00118745, 0.00010331, 581, 19887, 1782
0.00362292, 0.00205548, 0.00156269, 0.000118745, 616, 19855, 1386
0.00197592, 0.000955901, 0.00101646, 8.9059e-05, 597, 19609, 1485
0.00287601, 0.00149144, 0.00137982, 0.000108063, 631, 21112, 1617
0.00185955, 0.000858529, 0.000999836, 0.000111622, 601, 20172, 2013
0.00298645, 0.00176337, 0.0012207, 9.618e-05, 616, 20620, 1584
0.0021671, 0.000930963, 0.00123139, 7.3624e-05, 613, 20843, 1287
0.0035493, 0.00187143, 0.00167312, 0.000130619, 572, 20105, 1650
0.00209348, 0.00104496, 0.00104377, 8.4309e-05, 581, 19719, 1485
0.00202223, 0.000827655, 0.00118983, 0.000102123, 603, 20096, 1683
0.00187855, 0.000871591, 0.0010034, 8.668e-05, 582, 19713, 1584
0.00325837, 0.00206142, 0.0011922, 0.00012468, 635, 21366, 1848
0.00195574, 0.000914339, 0.00103783, 0.000104496, 609, 20150, 1782
0.0022906, 0.00123614, 0.00104971, 8.787e-05, 627, 21058, 1617
0.00216235, 0.00107702, 0.00108177, 0.000100935, 619, 20441, 2013
0.00224429, 0.00139882, 0.000840718, 5.5808e-05, 578, 20079, 1254
0.00231316, 0.00118627, 0.00112333, 8.4311e-05, 591, 20314, 1386
0.0027074, 0.00150807, 0.00119458, 9.8564e-05, 607, 20829, 1716
0.00248297, 0.00117083, 0.00130739, 7.4811e-05, 578, 19745, 1089
0.00374879, 0.0022906, 0.00145226, 8.5494e-05, 628, 21514, 1221
0.00204242, 0.000876341, 0.00116133, 0.000128247, 595, 19853, 2079
0.00244497, 0.00124326, 0.00119814, 7.3623e-05, 622, 20922, 1155
0.00208398, 0.0010984, 0.000980836, 8.1931e-05, 626, 21446, 1452
0.00172893, 0.000807468, 0.000917901, 6.5309e-05, 579, 20069, 1155
0.00174556, 0.000816968, 0.000925026, 7.8373e-05, 599, 20288, 1518
0.00191892, 0.000915527, 0.000999836, 8.3124e-05, 605, 20187, 1452
0.00180255, 0.000891777, 0.000907215, 5.1061e-05, 573, 19348, 957
0.00193911, 0.00089059, 0.00104377, 0.000123495, 638, 20788, 2409
0.00413828, 0.00214454, 0.00198898, 0.00016743, 607, 19891, 1848
0.0022526, 0.000953525, 0.00129432, 7.0058e-05, 606, 20035, 1188
0.00224072, 0.00103308, 0.00120527, 0.000134186, 611, 20183, 2145
0.00193555, 0.000884653, 0.00104733, 8.4313e-05, 593, 20655, 1683
0.00237253, 0.00118864, 0.00118033, 9.6184e-05, 609, 20690, 1749
0.00228585, 0.00116608, 0.00111502, 9.737e-05, 608, 20936, 1881
