TIME_STAMPE,EPX_TRAJ_FRONTEND,EXP_TRAJ_OPT,GENERATE_EXP_TRAJ,BACK_TRAJ_FRONTEND,BACK_TRAJ_OPT,GENERATE_BACK_TRAJ,TOTAL_REPLAN,VISUALIZATION
26.807, 0.00873564, 8.9018e-05, 0.00887569, 0, 0, 0, 0.00891011, 3.561e-06
26.9, 0, 0, 0, 0, 0, 0, 5.935e-06, 0
27.001, 0, 0, 0, 0, 0, 0, 2.374e-06, 0
27.104, 0.00399961, 7.598e-05, 0.00411833, 0, 0, 0, 0.00415039, 3.561e-06
27.2, 0, 0, 0, 0, 0, 0, 4.749e-06, 0
27.3, 0, 0, 0, 0, 0, 0, 4.757e-06, 0
27.407, 0.00482759, 0.00199217, 0.00684711, 0, 0, 1.189e-06, 0.00695415, 7.134e-06
27.504, 0.00592655, 0.00185896, 0.00780811, 0, 0, 1.189e-06, 0.00788185, 8.326e-06
27.604, 0.00394746, 0.0021789, 0.00627979, 0, 0, 1.189e-06, 0.00636066, 5.945e-06
27.709, 0.00733117, 0.00111086, 0.00847058, 0, 0, 1.19e-06, 0.00867396, 7.137e-06
27.806, 0.00543178, 0.000804003, 0.006256, 0, 0, 0, 0.00633212, 8.326e-06
27.906, 0.00691966, 0.00220744, 0.00915445, 0, 0, 1.189e-06, 0.00924128, 5.946e-06
28.005, 0.00496793, 0.000905098, 0.00589206, 0, 0, 0, 0.00595866, 7.137e-06
28.11, 0.00996559, 0.000510232, 0.0104984, 0, 0, 1.189e-06, 0.010565, 7.137e-06
28.202, 0.00292445, 0.000670757, 0.00361899, 0, 0, 1.19e-06, 0.0036963, 7.135e-06
28.304, 0.00301959, 0.000692164, 0.00373198, 0, 0, 1.189e-06, 0.00381047, 7.136e-06
28.403, 0.00220493, 0.000505446, 0.00272703, 0, 0, 0, 0.00279839, 3.568e-06
28.5, 0, 0, 0, 0, 0, 0, 3.568e-06, 0
28.6, 0, 0, 0, 0, 0, 0, 3.568e-06, 0
28.7, 0, 0, 0, 0, 0, 0, 5.946e-06, 0
28.8, 0, 0, 0, 0, 0, 0, 4.758e-06, 0
28.9, 0, 0, 0, 0, 0, 0, 4.757e-06, 0
29.003, 0.00262118, 0.000538746, 0.00318015, 0, 0, 1.189e-06, 0.00323367, 7.137e-06
29.104, 0.00331792, 0.000767046, 0.00410518, 0, 0, 1.19e-06, 0.00416345, 7.135e-06
29.203, 0.00281607, 0.000506607, 0.00334289, 0, 0, 1.189e-06, 0.00340592, 7.136e-06
29.303, 0.0028684, 0.000485202, 0.00338095, 0, 0, 1.189e-06, 0.00346182, 8.324e-06
29.404, 0.0029671, 0.00105484, 0.00405048, 0, 0, 1.189e-06, 0.00412659, 4.757e-06
29.502, 0.0028684, 0.000772992, 0.00366517, 0, 0, 0, 0.00374366, 7.136e-06
29.604, 0.00278753, 0.00070045, 0.00350819, 0, 0, 0, 0.0035736, 7.137e-06
29.703, 0.00305867, 0.00082175, 0.00390064, 0, 0, 1.19e-06, 0.00396842, 5.946e-06
29.807, 0.00703899, 0.00148295, 0.00855286, 0, 0, 1.19e-06, 0.00862659, 9.514e-06
29.902, 0.0027578, 0.000860994, 0.00363901, 0, 0, 1.189e-06, 0.00371274, 5.945e-06
30.003, 0.00298002, 0.000413825, 0.00341406, 0, 0, 1.189e-06, 0.0034759, 7.136e-06
30.103, 0.00289202, 0.000636197, 0.00354725, 0, 0, 1.189e-06, 0.00360552, 7.135e-06
30.204, 0.00329158, 0.00101316, 0.00433328, 0, 0, 0, 0.0044082, 5.946e-06
30.303, 0.0026209, 0.000610036, 0.00325115, 0, 0, 0, 0.00329039, 4.756e-06
30.4, 0, 0, 0, 0, 0, 0, 4.756e-06, 0
30.5, 0, 0, 0, 0, 0, 0, 4.757e-06, 0
30.602, 0.00191216, 0.000419772, 0.00234977, 0, 0, 0, 0.00238188, 3.567e-06
30.7, 0, 0, 0, 0, 0, 0, 3.568e-06, 0
30.8, 0, 0, 0, 0, 0, 0, 3.568e-06, 0
30.904, 0.00326525, 0.000513688, 0.00380628, 0, 0, 0, 0.00384552, 3.567e-06
31, 0, 0, 0, 0, 0, 0, 4.757e-06, 0
31.1, 0, 0, 0, 0, 0, 0, 3.568e-06, 0
31.2, 0, 0, 0, 0, 0, 0, 4.757e-06, 0
31.302, 0.00158506, 0.000525579, 0.00212847, 0, 0, 0, 0.00216058, 3.567e-06
31.4, 0, 0, 0, 0, 0, 0, 3.567e-06, 0
31.501, 0, 0, 0, 0, 0, 0, 5.945e-06, 0
31.603, 0.00176104, 0.000419749, 0.0022022, 0, 0, 1.189e-06, 0.00225333, 7.135e-06
31.702, 0.00108683, 0.000386455, 0.00149231, 0, 0, 1.189e-06, 0.00153274, 7.134e-06
31.801, 0.00100354, 0.000140305, 0.00116763, 0, 0, 1.189e-06, 0.00121638, 5.945e-06
31.901, 0.00113909, 0.000190245, 0.00135431, 0, 0, 1.189e-06, 0.00141257, 5.945e-06
32.001, 0.00089653, 0.000121281, 0.00103684, 0, 0, 1.189e-06, 0.00108677, 5.945e-06
32.101, 0.00090842, 0.000117714, 0.00104872, 0, 0, 0, 0.0010951, 1.0702e-05
32.202, 0.00134242, 0.000162897, 0.00153028, 0, 0, 1.189e-06, 0.00158974, 7.135e-06
32.303, 0.00244584, 0.000340063, 0.00281919, 0, 0, 1.189e-06, 0.00290005, 8.323e-06
32.402, 0.00219495, 0.00049226, 0.00273121, 0, 0, 1.189e-06, 0.00283465, 9.512e-06
32.501, 0.00084778, 0.000200946, 0.00106656, 0, 0, 1.189e-06, 0.00111888, 5.945e-06
32.6, 0, 0, 5.3506e-05, 0, 0, 0, 9.75e-05, 3.567e-06
32.7, 0, 0, 5.826e-05, 0, 0, 1.189e-06, 9.9873e-05, 3.567e-06
32.8, 0, 0, 6.6583e-05, 0, 0, 1.189e-06, 0.000124842, 2.378e-06
32.9, 0, 0, 6.0638e-05, 0, 0, 1.189e-06, 0.000105818, 3.567e-06
33, 0, 0, 5.3504e-05, 0, 0, 1.189e-06, 0.000109385, 3.566e-06
33.101, 0, 0, 5.707e-05, 0, 0, 1.189e-06, 0.000108197, 3.567e-06
33.2, 0, 0, 4.2803e-05, 0, 0, 1.189e-06, 8.6795e-05, 3.567e-06
33.3, 0, 0, 5.5882e-05, 0, 0, 1.189e-06, 9.7495e-05, 3.567e-06
33.4, 0, 0, 6.3015e-05, 0, 0, 1.189e-06, 0.000108196, 2.378e-06
33.5, 0, 0, 9.511e-06, 0, 0, 0, 6.3015e-05, 3.567e-06
33.6, 0, 0, 8.323e-06, 0, 0, 0, 5.1123e-05, 3.565e-06
33.7, 0, 0, 1.4267e-05, 0, 0, 1.189e-06, 5.9446e-05, 4.755e-06
33.9, 0.000854831, 7.8468e-05, 8.322e-06, 0, 0, 1.189e-06, 6.3013e-05, 8.322e-06
34, 0, 0, 5.944e-06, 0, 0, 1.189e-06, 4.1612e-05, 2.378e-06
34.3, 0.000814408, 0.000224705, 7.1335e-05, 0, 0, 1.189e-06, 0.000116513, 8.323e-06
34.4, 0, 0, 6.3013e-05, 0, 0, 1.189e-06, 0.000129592, 3.567e-06
34.5, 0, 0, 9.2731e-05, 0, 0, 1.188e-06, 0.000154552, 4.755e-06
34.601, 0, 0, 7.0143e-05, 0, 0, 1.189e-06, 0.000121263, 2.378e-06
34.7, 0, 0, 6.1821e-05, 0, 0, 1.189e-06, 0.000108187, 4.756e-06
34.8, 0, 0, 8.9164e-05, 0, 0, 1.189e-06, 0.000166441, 4.756e-06
34.9, 0, 0, 8.0842e-05, 0, 0, 1.189e-06, 0.00012483, 2.378e-06
35.001, 0, 0, 8.2032e-05, 0, 0, 0, 0.000133152, 2.378e-06
35.1, 0, 0, 8.322e-06, 0, 0, 1.189e-06, 4.7555e-05, 3.566e-06
35.2, 0, 0, 7.133e-06, 0, 0, 1.189e-06, 5.4688e-05, 3.567e-06
35.3, 0, 0, 8.322e-06, 0, 0, 1.189e-06, 9.6298e-05, 3.567e-06
